category_norm,jury_president_name,jury_role,affinity_summary,affinity_1,affinity_2,affinity_3,affinity_4,watchout,trayectoria,filosofia,sesgos,insights,implicaciones
Direct,Gaëtan Du Peloux,Jury President,"La creatividad como detonador de una acción concreta. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","La creatividad como detonador de una acción concreta. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Direct gana cuando convierte creatividad en comportamiento observable: responder, comprar, registrarse, compartir o cambiar un hábito.","Diseñar CTAs creativos, journeys con poca fricción, personalización con valor y medición de respuesta real.","President and Chief Creative Officer, Marcel, France. Trayectoria vinculada a respuesta, CRM, activación, journey, personalización y comportamiento medible. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer la creatividad como detonador de una acción concreta; penaliza ideas sin respuesta medible, calls-to-action obvios y mecánicas complicadas. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","President and Chief Creative Officer, Marcel, France. Trayectoria vinculada a respuesta, CRM, activación, journey, personalización y comportamiento medible. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","La creatividad como detonador de una acción concreta. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer la creatividad como detonador de una acción concreta; penaliza ideas sin respuesta medible, calls-to-action obvios y mecánicas complicadas. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Direct gana cuando convierte creatividad en comportamiento observable: responder, comprar, registrarse, compartir o cambiar un hábito.","Diseñar CTAs creativos, journeys con poca fricción, personalización con valor y medición de respuesta real."
Media,Dan Clays,Jury President,"El medio como idea, no solo como distribución. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El medio como idea, no solo como distribución. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El canal puede cambiar el significado del mensaje; ganar depende de aparecer donde importa, cuando importa y de forma inesperada.","Involucrar media desde el brief, planear por momentos/contextos y medir atención, incrementalidad, eficiencia y efecto de marca.","CEO, Omnicom Media Group, EMEA. Trayectoria vinculada a planeación de medios, inversión, data, atención y transformación de canales. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer el medio como idea, no solo como distribución; penaliza planes de cobertura tradicionales, optimización sin creatividad y medios usados solo para amplificar. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","CEO, Omnicom Media Group, EMEA. Trayectoria vinculada a planeación de medios, inversión, data, atención y transformación de canales. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","El medio como idea, no solo como distribución. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer el medio como idea, no solo como distribución; penaliza planes de cobertura tradicionales, optimización sin creatividad y medios usados solo para amplificar. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","El canal puede cambiar el significado del mensaje; ganar depende de aparecer donde importa, cuando importa y de forma inesperada.","Involucrar media desde el brief, planear por momentos/contextos y medir atención, incrementalidad, eficiencia y efecto de marca."
PR,Tom Beckman,Jury President,"Hacer cosas que merezcan ser contadas, no solo comunicadas. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Hacer cosas que merezcan ser contadas, no solo comunicadas. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","La mejor historia de PR contiene una tensión, conflicto, personaje o solución que la vuelve naturalmente publicable.","Diseñar desde el titular potencial, preparar voceros/datos y medir calidad de cobertura, percepción y conversación orgánica.","Global Chief Creative Officer, Weber Shandwick, Global. Trayectoria vinculada a reputación, earned media, conversación cultural y creatividad noticiable. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer hacer cosas que merezcan ser contadas, no solo comunicadas; penaliza stunts sin sustancia, cobertura comprada y campañas que solo funcionan con pauta. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Chief Creative Officer, Weber Shandwick, Global. Trayectoria vinculada a reputación, earned media, conversación cultural y creatividad noticiable. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Hacer cosas que merezcan ser contadas, no solo comunicadas. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer hacer cosas que merezcan ser contadas, no solo comunicadas; penaliza stunts sin sustancia, cobertura comprada y campañas que solo funcionan con pauta. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","La mejor historia de PR contiene una tensión, conflicto, personaje o solución que la vuelve naturalmente publicable.","Diseñar desde el titular potencial, preparar voceros/datos y medir calidad de cobertura, percepción y conversación orgánica."
Social & Creator,Beth Keamy,Jury President,"Social como participación y cocreación, no como distribución. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Social como participación y cocreación, no como distribución. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","En social gana lo que la gente quiere usar, remixear o adoptar; la marca debe ceder control para que la cultura lo haga suyo.","Briefs para creators con libertad, assets remixables, formatos participativos y medición de conversación/UGC.","Chief Digital Officer, TBWA\Media Arts Lab, Global. Trayectoria vinculada a plataformas sociales, creators, cultura digital y comunidades. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer social como participación y cocreación, no como distribución; penaliza reposts de ATL, creators usados como espacios publicitarios y métricas infladas sin comunidad. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chief Digital Officer, TBWA\Media Arts Lab, Global. Trayectoria vinculada a plataformas sociales, creators, cultura digital y comunidades. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Social como participación y cocreación, no como distribución. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer social como participación y cocreación, no como distribución; penaliza reposts de ATL, creators usados como espacios publicitarios y métricas infladas sin comunidad. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","En social gana lo que la gente quiere usar, remixear o adoptar; la marca debe ceder control para que la cultura lo haga suyo.","Briefs para creators con libertad, assets remixables, formatos participativos y medición de conversación/UGC."
Entertainment,Dave Rolfe,Jury President,"Competir contra entretenimiento real, no contra otros anuncios. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Competir contra entretenimiento real, no contra otros anuncios. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Entretenimiento ganador gana tiempo voluntario: si la audiencia no lo vería por elección, no es entretenimiento.","Desarrollar formatos, series, alianzas con talento y propiedades de contenido con métricas de retención, fans y recurrencia.","Global Head of Production, WPP / Hogarth, Global. Trayectoria vinculada a producción global, contenido, entretenimiento de marca y atención voluntaria. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer competir contra entretenimiento real, no contra otros anuncios; penaliza branded content que es anuncio largo y piezas que nadie elegiría ver sin pauta. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Head of Production, WPP / Hogarth, Global. Trayectoria vinculada a producción global, contenido, entretenimiento de marca y atención voluntaria. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Competir contra entretenimiento real, no contra otros anuncios. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer competir contra entretenimiento real, no contra otros anuncios; penaliza branded content que es anuncio largo y piezas que nadie elegiría ver sin pauta. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Entretenimiento ganador gana tiempo voluntario: si la audiencia no lo vería por elección, no es entretenimiento.","Desarrollar formatos, series, alianzas con talento y propiedades de contenido con métricas de retención, fans y recurrencia."
Entertainment Lions for Gaming,Sue Anderson,Jury President,"Gaming como agencia del jugador y valor para comunidad. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Gaming como agencia del jugador y valor para comunidad. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","En gaming la audiencia no mira: juega. La idea debe entregar desafío, recompensa, estatus o utilidad dentro de la comunidad.","Diseñar desde mecánicas de juego, misiones y recompensas; medir tiempo de juego, recurrencia, interacción y sentimiento.","Vice President, Creative, Roblox, USA. Trayectoria vinculada a gaming, mundos virtuales, comunidades interactivas y plataformas de juego. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer gaming como agencia del jugador y valor para comunidad; penaliza logos dentro de juegos, skins sin idea, mundos vacíos e intrusiones que no entienden al gamer. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Vice President, Creative, Roblox, USA. Trayectoria vinculada a gaming, mundos virtuales, comunidades interactivas y plataformas de juego. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Gaming como agencia del jugador y valor para comunidad. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer gaming como agencia del jugador y valor para comunidad; penaliza logos dentro de juegos, skins sin idea, mundos vacíos e intrusiones que no entienden al gamer. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","En gaming la audiencia no mira: juega. La idea debe entregar desafío, recompensa, estatus o utilidad dentro de la comunidad.","Diseñar desde mecánicas de juego, misiones y recompensas; medir tiempo de juego, recurrencia, interacción y sentimiento."
Entertainment Lions for Music,Seiya Matsumiya,Jury President,"Música como identidad y movilización cultural. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Música como identidad y movilización cultural. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",La música moviliza pertenencia; una marca gana cuando habilita a artistas o fans a expresar algo auténtico.,"Crear alianzas con artistas desde propósito compartido, experiencias en vivo, sonic branding y plataformas para fans.","CEO and Co-Founder, Black Cat White Cat Music, Global. Trayectoria vinculada a música, artistas, cultura pop, fanbases y sonic identity. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer música como identidad y movilización cultural; penaliza canciones pegadas al final, patrocinios superficiales y apropiación cultural sin colaboración real. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","CEO and Co-Founder, Black Cat White Cat Music, Global. Trayectoria vinculada a música, artistas, cultura pop, fanbases y sonic identity. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Música como identidad y movilización cultural. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer música como identidad y movilización cultural; penaliza canciones pegadas al final, patrocinios superficiales y apropiación cultural sin colaboración real. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",La música moviliza pertenencia; una marca gana cuando habilita a artistas o fans a expresar algo auténtico.,"Crear alianzas con artistas desde propósito compartido, experiencias en vivo, sonic branding y plataformas para fans."
Entertainment Lions for Sport,Jimmy Smith,Jury President,"El deporte como drama humano y pertenencia colectiva. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El deporte como drama humano y pertenencia colectiva. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El producto del deporte es pertenencia: gana la idea que activa orgullo, humor, rivalidad o ritual de comunidad.","Diseñar desde momentos de temporada, rituales de fans y narrativas de atletas; medir participación, conversación y ventas/descargas.","Chairman, CEO and Chief Creative Officer, Amusement Park Entertainment, USA. Trayectoria vinculada a deporte, entretenimiento, fandom, celebridades y cultura popular. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer el deporte como drama humano y pertenencia colectiva; penaliza patrocinios pasivos, logos en eventos y piezas que no entienden rituales de fans. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chairman, CEO and Chief Creative Officer, Amusement Park Entertainment, USA. Trayectoria vinculada a deporte, entretenimiento, fandom, celebridades y cultura popular. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","El deporte como drama humano y pertenencia colectiva. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer el deporte como drama humano y pertenencia colectiva; penaliza patrocinios pasivos, logos en eventos y piezas que no entienden rituales de fans. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","El producto del deporte es pertenencia: gana la idea que activa orgullo, humor, rivalidad o ritual de comunidad.","Diseñar desde momentos de temporada, rituales de fans y narrativas de atletas; medir participación, conversación y ventas/descargas."
Brand Experience & Activation,Tara Ford,Jury President,"La promesa de marca debe vivirse, no solo verse. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","La promesa de marca debe vivirse, no solo verse. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",Una experiencia ganadora hace que la gente viva el posicionamiento; la vivencia debe demostrar la marca.,"Diseñar antes/durante/después de cada activación y medir participación, recuerdo, contenido generado y consideración.","Chief Creative Officer, Droga5 London, part of Accenture Song, UK. Trayectoria vinculada a experiencias de marca, activaciones, integración física-digital y comportamiento. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer la promesa de marca debe vivirse, no solo verse; penaliza eventos bonitos sin propósito, tecnología ornamental y experiencias diseñadas solo para video-case. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chief Creative Officer, Droga5 London, part of Accenture Song, UK. Trayectoria vinculada a experiencias de marca, activaciones, integración física-digital y comportamiento. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","La promesa de marca debe vivirse, no solo verse. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer la promesa de marca debe vivirse, no solo verse; penaliza eventos bonitos sin propósito, tecnología ornamental y experiencias diseñadas solo para video-case. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",Una experiencia ganadora hace que la gente viva el posicionamiento; la vivencia debe demostrar la marca.,"Diseñar antes/durante/después de cada activación y medir participación, recuerdo, contenido generado y consideración."
Creative Business Transformation,Jane Lin-Baden,Jury President,"Creatividad aplicada a cómo opera una empresa. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Creatividad aplicada a cómo opera una empresa. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","La creatividad más valiosa ocurre dentro del negocio: producto, servicio, proceso, cultura o modelo de ingresos.","Vincular marketing con CX, operaciones y producto; documentar problema, intervención, adopción y resultados financieros.","CEO APAC, Member of the Global Management Committee, Publicis Groupe. Trayectoria vinculada a transformación de negocio, modelos operativos, consultoría creativa y crecimiento. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer creatividad aplicada a cómo opera una empresa; penaliza rebrandings disfrazados de transformación, pilotos aislados y proyectos sin adopción interna. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","CEO APAC, Member of the Global Management Committee, Publicis Groupe. Trayectoria vinculada a transformación de negocio, modelos operativos, consultoría creativa y crecimiento. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Creatividad aplicada a cómo opera una empresa. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer creatividad aplicada a cómo opera una empresa; penaliza rebrandings disfrazados de transformación, pilotos aislados y proyectos sin adopción interna. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","La creatividad más valiosa ocurre dentro del negocio: producto, servicio, proceso, cultura o modelo de ingresos.","Vincular marketing con CX, operaciones y producto; documentar problema, intervención, adopción y resultados financieros."
Creative Commerce,Gabriel Schmitt,Jury President,"Hacer de la transacción una experiencia distintiva. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Hacer de la transacción una experiencia distintiva. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",El punto de venta también construye marca; una compra memorable puede valer tanto como una campaña masiva.,"Rediseñar discovery, reserva, pago, upsell y postventa para aumentar conversión, ticket y percepción de valor.","Global Chief Creative Officer, Grey, Global. Trayectoria vinculada a commerce, retail, experiencia de compra, conversión y marca. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer hacer de la transacción una experiencia distintiva; penaliza descuentos sin idea, promociones tácticas y ventas generadas solo por precio. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Chief Creative Officer, Grey, Global. Trayectoria vinculada a commerce, retail, experiencia de compra, conversión y marca. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Hacer de la transacción una experiencia distintiva. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer hacer de la transacción una experiencia distintiva; penaliza descuentos sin idea, promociones tácticas y ventas generadas solo por precio. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",El punto de venta también construye marca; una compra memorable puede valer tanto como una campaña masiva.,"Rediseñar discovery, reserva, pago, upsell y postventa para aumentar conversión, ticket y percepción de valor."
Innovation,Courtney Brown Warren,Jury President,"Innovación como posibilidad nueva para usuarios y comunidades. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Innovación como posibilidad nueva para usuarios y comunidades. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","La innovación ganadora tiene comunidad antes que masividad: usuarios reales deben creer, usar y empujar la solución.","Prototipar con usuarios reales, demostrar adopción, documentar utilidad y evaluar escalabilidad/ventaja competitiva.","Chief Marketing Officer, Kickstarter, Global. Trayectoria vinculada a plataformas creativas, comunidades, prototipos, tecnología y nuevos modelos. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer innovación como posibilidad nueva para usuarios y comunidades; penaliza futurismo decorativo, claims sin producto y soluciones que no pasan del demo. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chief Marketing Officer, Kickstarter, Global. Trayectoria vinculada a plataformas creativas, comunidades, prototipos, tecnología y nuevos modelos. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Innovación como posibilidad nueva para usuarios y comunidades. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer innovación como posibilidad nueva para usuarios y comunidades; penaliza futurismo decorativo, claims sin producto y soluciones que no pasan del demo. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","La innovación ganadora tiene comunidad antes que masividad: usuarios reales deben creer, usar y empujar la solución.","Prototipar con usuarios reales, demostrar adopción, documentar utilidad y evaluar escalabilidad/ventaja competitiva."
Luxury,Mathilde Delhoume-Debreu,Jury President,"Lujo como deseo, detalle, herencia y escasez simbólica. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Lujo como deseo, detalle, herencia y escasez simbólica. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",El lujo ganador no persuade: magnetiza. Crea un mundo al que la audiencia quiere pertenecer.,"Cuidar cada punto de contacto: visuales, servicio, packaging, lenguaje y postventa; priorizar calidad de audiencia sobre alcance.","Global Brand Officer, LVMH, Global. Trayectoria vinculada a marcas de lujo, patrimonio, deseo, experiencia premium y coherencia global. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer lujo como deseo, detalle, herencia y escasez simbólica; penaliza masificación, tácticas promocionales que erosionan valor y códigos aspiracionales genéricos. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Brand Officer, LVMH, Global. Trayectoria vinculada a marcas de lujo, patrimonio, deseo, experiencia premium y coherencia global. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Lujo como deseo, detalle, herencia y escasez simbólica. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer lujo como deseo, detalle, herencia y escasez simbólica; penaliza masificación, tácticas promocionales que erosionan valor y códigos aspiracionales genéricos. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",El lujo ganador no persuade: magnetiza. Crea un mundo al que la audiencia quiere pertenecer.,"Cuidar cada punto de contacto: visuales, servicio, packaging, lenguaje y postventa; priorizar calidad de audiencia sobre alcance."
Glass: The Lion for Change,KR Liu,Jury President,"Cocrear con comunidades y cambiar condiciones reales de representación o acceso. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Cocrear con comunidades y cambiar condiciones reales de representación o acceso. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",Inclusión ganadora no habla sobre una comunidad: trabaja con ella y produce cambios narrativos o materiales.,"Incluir comunidades desde el brief, definir problema específico, indicadores de impacto y continuidad post-campaña.","Global Head of Product Innovation and Marketing Partnerships for Platforms and Devices, Google, Global. Trayectoria vinculada a inclusión, accesibilidad, representación y cambio social aplicado a producto/comunicación. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer cocrear con comunidades y cambiar condiciones reales de representación o acceso; penaliza purpose washing, campañas sobre comunidades sin comunidad y representación superficial. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Head of Product Innovation and Marketing Partnerships for Platforms and Devices, Google, Global. Trayectoria vinculada a inclusión, accesibilidad, representación y cambio social aplicado a producto/comunicación. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Cocrear con comunidades y cambiar condiciones reales de representación o acceso. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer cocrear con comunidades y cambiar condiciones reales de representación o acceso; penaliza purpose washing, campañas sobre comunidades sin comunidad y representación superficial. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",Inclusión ganadora no habla sobre una comunidad: trabaja con ella y produce cambios narrativos o materiales.,"Incluir comunidades desde el brief, definir problema específico, indicadores de impacto y continuidad post-campaña."
Grand Prix for Good,Judy John,Jury President,"Impacto social medible con responsabilidad narrativa. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Impacto social medible con responsabilidad narrativa. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Lo social gana cuando combina urgencia humana con solución concreta; debe mejorar algo real, no solo conmover.","Trabajar con ONGs/instituciones, medir resultados sociales y mantener ética, consentimiento y continuidad.","Global Chief Creative Officer, Edelman, Global. Trayectoria vinculada a creatividad con impacto público, reputación, confianza y causas. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer impacto social medible con responsabilidad narrativa; penaliza sentimentalismo sin solución, causas usadas para premios y métricas de vanidad. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Chief Creative Officer, Edelman, Global. Trayectoria vinculada a creatividad con impacto público, reputación, confianza y causas. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Impacto social medible con responsabilidad narrativa. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer impacto social medible con responsabilidad narrativa; penaliza sentimentalismo sin solución, causas usadas para premios y métricas de vanidad. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Lo social gana cuando combina urgencia humana con solución concreta; debe mejorar algo real, no solo conmover.","Trabajar con ONGs/instituciones, medir resultados sociales y mantener ética, consentimiento y continuidad."
Sustainable Development Goals,Josy Paul,Jury President,"Traducir problemas sistémicos en acciones humanas verificables. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Traducir problemas sistémicos en acciones humanas verificables. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Los ODS no son tema decorativo: la campaña debe demostrar qué cambió, para quién y durante cuánto tiempo.","Mapear ODS relevantes, definir línea base, alianzas e indicadores de impacto verificables.","Chairperson and Chief Creative Officer, BBDO, India. Trayectoria vinculada a ODS, cambio social, sostenibilidad, empatía cultural y movilización. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer traducir problemas sistémicos en acciones humanas verificables; penaliza greenwashing, claims vagos y soluciones sin relación clara con un ODS. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chairperson and Chief Creative Officer, BBDO, India. Trayectoria vinculada a ODS, cambio social, sostenibilidad, empatía cultural y movilización. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Traducir problemas sistémicos en acciones humanas verificables. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer traducir problemas sistémicos en acciones humanas verificables; penaliza greenwashing, claims vagos y soluciones sin relación clara con un ODS. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Los ODS no son tema decorativo: la campaña debe demostrar qué cambió, para quién y durante cuánto tiempo.","Mapear ODS relevantes, definir línea base, alianzas e indicadores de impacto verificables."
